,0
93b6576d-3317-4f42-9305-bf0ca309ca38,Epi
4feaae86-e6ea-4bcc-a859-7009c66f1425,Epi
c3ad1a30-5b97-43df-86cb-178a14c6d25b,Epi
ae0051f5-f70b-438b-b26f-de82a6c9de71,Epi
8231d2a4-2353-4485-9130-347e3f4110e0,Epi
3602a30f-efeb-45e1-affe-6cf01cc32e37,Epi
93d968e5-1521-4bb1-8c48-fe104857dbc1,Epi
3a09ef2a-433f-442e-8cab-f615de987f4c,Epi
b6825047-d483-4893-91e1-c0812ae65651,Epi
ebcd920a-26ad-419d-b422-22d714882cb1,Epi
6e8f0f5f-47e5-43e6-a7e2-19f6fac5201d,Epi
51811539-15cc-41a1-afe9-fa30f18cbac8,Epi
948ad9c8-7acc-4ef9-8d7e-afa94f28a9fd,Epi
452b3e7f-5286-4161-a405-39871af1fa31,Epi
0e6d9276-d43d-4be7-8289-6024fad24486,Epi
9590e4fe-d992-47d2-89a0-df0f28c8d818,Epi
616db57b-9e01-4f1d-bdf2-2c101a16f599,Epi
c5ebd497-da57-482e-a587-879c5104ca33,Epi
7639ab9e-b986-4bd9-986e-22cc546ea144,Epi
39503138-cc69-457d-859f-e59e69bfb5f7,Epi
5f8ef8e4-9cd2-4347-a835-1da7d1dce00d,Endothelia
3d8b272b-9884-4ca7-b242-dcb44a8adb01,Epi
207cd178-d033-449b-9c08-fe0243c5845f,Epi
47ca0c9f-d3dc-49dc-80ab-50c0598ed362,Epi
f9fe9bdb-0c7f-4b55-ad6f-c24814d2cf34,Epi
cb5bd025-2f28-46b3-9844-9631554dc5a7,Stroma
4634480c-03b3-4e27-83ea-28f46eadbfac,Stroma
0577a011-44d5-404d-bf17-534a397fa83e,Endothelia
a61bb289-337b-46bf-9fc1-a554e29840da,Stroma
36fe4794-6b3f-4ecc-8f7d-c9a0cc16159c,Stroma
158e08f2-74ea-495b-8e81-58986a252366,Stroma
6453794f-cb8f-416f-b5c0-a18db7f696c9,Stroma
